godina;Datum;Volume;JedMj;Lokacija;Energija
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-3000;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-960;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-1933;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-84;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-4230;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-2649;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-3929;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-4251;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-3601;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-4633;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-1046;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-1955;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-1338;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-414;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-342;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-2307;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-3611;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-2676;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-3511;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-543;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-4391;Garbage
2024;2024-01-01;2.75165658;spremnik (1100 l);Lokacija-3851;Garbage
2024;2024-01-01;2.76087486;spremnik (1100 l);Lokacija-62;Garbage
2024;2024-01-01;2.76153570;m3;Lokacija-3629;Water
2024;2024-01-01;2.77009314;spremnik (1100 l);Lokacija-432;Garbage
2024;2024-01-01;2.77009314;spremnik (1100 l);Lokacija-2393;Garbage
2024;2024-01-01;2.78161599;spremnik (1100 l);Lokacija-4656;Garbage
2024;2024-01-01;2.80005255;spremnik (1100 l);Lokacija-1704;Garbage
2024;2024-01-01;2.80466169;spremnik (1100 l);Lokacija-1013;Garbage
2024;2024-01-01;2.81157540;spremnik (1100 l);Lokacija-4177;Garbage
2024;2024-01-01;2.82692025;m3;Lokacija-1304;Water
2024;2024-01-01;2.88461250;m3;Lokacija-2307;Water
2024;2024-01-01;2.88461250;m3;Lokacija-543;Water
2024;2024-01-01;2.88461250;m3;Lokacija-4391;Water
2024;2024-01-01;2.88461250;m3;Lokacija-1948;Water
2024;2024-01-01;2.88461250;m3;Lokacija-3698;Water
2024;2024-01-01;2.88461250;m3;Lokacija-2176;Water
2024;2024-01-01;2.91067191;spremnik (1100 l);Lokacija-3181;Garbage
2024;2024-01-01;2.95676331;spremnik (1100 l);Lokacija-810;Garbage
2024;2024-01-01;2.98672272;spremnik (1100 l);Lokacija-4202;Garbage
2024;2024-01-01;3.00746385;spremnik (1100 l);Lokacija-1938;Garbage
2024;2024-01-01;3.00768930;m3;Lokacija-715;Water
2024;2024-01-01;3.01898670;spremnik (1100 l);Lokacija-3289;Garbage
2024;2024-01-01;3.02359584;spremnik (1100 l);Lokacija-1026;Garbage
2024;2024-01-01;3.02359584;spremnik (1100 l);Lokacija-2504;Garbage
2024;2024-01-01;3.02359584;spremnik (1100 l);Lokacija-79;Garbage
2024;2024-01-01;3.03076620;m3;Lokacija-3342;Water
2024;2024-01-01;3.03076620;m3;Lokacija-3236;Water
2024;2024-01-01;3.03076620;m3;Lokacija-442;Water
2024;2024-01-01;3.13421520;spremnik (1100 l);Lokacija-1357;Garbage
2024;2024-01-01;3.14999685;m3;Lokacija-3896;Water
2024;2024-01-01;3.16647918;spremnik (1100 l);Lokacija-3073;Garbage
2024;2024-01-01;3.19230450;m3;Lokacija-1637;Water
2024;2024-01-01;3.19615065;m3;Lokacija-2366;Water
2024;2024-01-01;3.19615065;m3;Lokacija-2746;Water
2024;2024-01-01;3.21538140;m3;Lokacija-1752;Water
2024;2024-01-01;3.24022542;spremnik (1100 l);Lokacija-2206;Garbage
2024;2024-01-01;3.24230445;m3;Lokacija-3866;Water
2024;2024-01-01;3.24713913;spremnik (1100 l);Lokacija-1850;Garbage
2024;2024-01-01;3.24713913;spremnik (1100 l);Lokacija-2036;Garbage
2024;2024-01-01;3.28845825;m3;Lokacija-3863;Water
2024;2024-01-01;3.29783967;spremnik (1100 l);Lokacija-1738;Garbage
2024;2024-01-01;3.37158591;spremnik (1100 l);Lokacija-2357;Garbage
2024;2024-01-01;3.37307355;m3;Lokacija-362;Water
2024;2024-01-01;3.38310876;spremnik (1100 l);Lokacija-4376;Garbage
2024;2024-01-01;3.39999660;m3;Lokacija-2192;Water
2024;2024-01-01;3.45099580;m3;Lokacija-3572;Gas
2024;2024-01-01;3.45099580;m3;Lokacija-1357;Gas
2024;2024-01-01;3.45099580;m3;Lokacija-1627;Gas
2024;2024-01-01;3.45099580;m3;Lokacija-1261;Gas
2024;2024-01-01;3.45099580;m3;Lokacija-3177;Gas
2024;2024-01-01;3.45224586;spremnik (1100 l);Lokacija-2746;Garbage
2024;2024-01-01;3.45224586;spremnik (1100 l);Lokacija-1637;Garbage
2024;2024-01-01;3.45685500;spremnik (1100 l);Lokacija-3647;Garbage
2024;2024-01-01;3.45685500;spremnik (1100 l);Lokacija-1498;Garbage
2024;2024-01-01;3.45685500;spremnik (1100 l);Lokacija-393;Garbage
2024;2024-01-01;3.45685500;spremnik (1100 l);Lokacija-362;Garbage
2024;2024-01-01;3.45685500;spremnik (1100 l);Lokacija-138;Garbage
2024;2024-01-01;3.49615035;m3;Lokacija-3209;Water
2024;2024-01-01;3.50294640;spremnik (1100 l);Lokacija-4038;Garbage
2024;2024-01-01;3.51922725;m3;Lokacija-3980;Water
2024;2024-01-01;3.52691955;m3;Lokacija-3119;Water
2024;2024-01-01;3.56153490;m3;Lokacija-1850;Water
2024;2024-01-01;3.56747436;spremnik (1100 l);Lokacija-2444;Garbage
2024;2024-01-01;3.58076565;m3;Lokacija-2309;Water
2024;2024-01-01;3.61356576;spremnik (1100 l);Lokacija-3342;Garbage
2024;2024-01-01;3.61817490;spremnik (1100 l);Lokacija-1002;Garbage
2024;2024-01-01;3.62278404;spremnik (1100 l);Lokacija-4090;Garbage
2024;2024-01-01;3.62691945;m3;Lokacija-213;Water
2024;2024-01-01;3.65274345;spremnik (1100 l);Lokacija-172;Garbage
2024;2024-01-01;3.68076555;m3;Lokacija-1286;Water
2024;2024-01-01;3.68076555;m3;Lokacija-1727;Water
2024;2024-01-01;3.77027652;spremnik (1100 l);Lokacija-3588;Garbage
2024;2024-01-01;3.77144541;m3;Lokacija-3629;Gas
2024;2024-01-01;3.79101765;spremnik (1100 l);Lokacija-706;Garbage
2024;2024-01-01;3.80254050;spremnik (1100 l);Lokacija-1761;Garbage
2024;2024-01-01;3.84999615;m3;Lokacija-3000;Water
2024;2024-01-01;3.85324104;spremnik (1100 l);Lokacija-3300;Garbage
2024;2024-01-01;3.87307305;m3;Lokacija-2357;Water
2024;2024-01-01;3.88076535;m3;Lokacija-414;Water
2024;2024-01-01;3.91922685;m3;Lokacija-3308;Water
2024;2024-01-01;3.98229696;spremnik (1100 l);Lokacija-3866;Garbage
2024;2024-01-01;3.98461140;m3;Lokacija-3889;Water
2024;2024-01-01;4.00534266;spremnik (1100 l);Lokacija-1987;Garbage
2024;2024-01-01;4.00995180;spremnik (1100 l);Lokacija-221;Garbage
2024;2024-01-01;4.00995180;spremnik (1100 l);Lokacija-3980;Garbage
2024;2024-01-01;4.03076520;m3;Lokacija-79;Water
2024;2024-01-01;4.03461135;m3;Lokacija-4811;Water
2024;2024-01-01;4.05834777;spremnik (1100 l);Lokacija-1247;Garbage
2024;2024-01-01;4.06987062;spremnik (1100 l);Lokacija-4683;Garbage
2024;2024-01-01;4.06987062;spremnik (1100 l);Lokacija-3870;Garbage
2024;2024-01-01;4.06987062;spremnik (1100 l);Lokacija-332;Garbage
2024;2024-01-01;4.10904831;spremnik (1100 l);Lokacija-1100;Garbage
2024;2024-01-01;4.12691895;m3;Lokacija-2036;Water
2024;2024-01-01;4.12978944;spremnik (1100 l);Lokacija-888;Garbage
2024;2024-01-01;4.16153430;m3;Lokacija-3300;Water
2024;2024-01-01;4.23076500;m3;Lokacija-28;Water
2024;2024-01-01;4.23119052;spremnik (1100 l);Lokacija-3295;Garbage
2024;2024-01-01;4.23461115;m3;Lokacija-713;Water
2024;2024-01-01;4.25768805;m3;Lokacija-3108;Water
2024;2024-01-01;4.26153420;m3;Lokacija-4050;Water
2024;2024-01-01;4.26345450;spremnik (1100 l);Lokacija-2366;Garbage
2024;2024-01-01;4.26575907;spremnik (1100 l);Lokacija-958;Garbage
2024;2024-01-01;4.26922650;m3;Lokacija-1180;Water
2024;2024-01-01;4.27036821;spremnik (1100 l);Lokacija-4137;Garbage
2024;2024-01-01;4.32106875;spremnik (1100 l);Lokacija-4134;Garbage
2024;2024-01-01;4.33076490;m3;Lokacija-780;Water
2024;2024-01-01;4.35333273;spremnik (1100 l);Lokacija-4642;Garbage
2024;2024-01-01;4.37407386;spremnik (1100 l);Lokacija-442;Garbage
2024;2024-01-01;4.38559671;spremnik (1100 l);Lokacija-636;Garbage
2024;2024-01-01;4.38845715;m3;Lokacija-1498;Water
2024;2024-01-01;4.45384170;m3;Lokacija-4642;Water
2024;2024-01-01;4.45384170;m3;Lokacija-888;Water
2024;2024-01-01;4.51926177;spremnik (1100 l);Lokacija-2596;Garbage
2024;2024-01-01;4.53078462;spremnik (1100 l);Lokacija-766;Garbage
2024;2024-01-01;4.59531258;spremnik (1100 l);Lokacija-3674;Garbage
2024;2024-01-01;4.59531258;spremnik (1100 l);Lokacija-3409;Garbage
2024;2024-01-01;4.62296742;spremnik (1100 l);Lokacija-1081;Garbage
2024;2024-01-01;4.64614920;m3;Lokacija-2477;Water
